U_In-5p,U_Sb-5p,Eg(eV)
-0.55,2.9,0.23698589461374397
-0.55,2.89,0.23379499761110156
-0.54,2.89,0.2352840676575606
-0.53,2.89,0.236773137703722
-0.53,2.88,0.23358224070585332
-0.52,2.88,0.23508177624543125
-0.51,2.88,0.23657964235360218
-0.51,2.87,0.23338241723035824
-0.5,2.87,0.23488028333658628
-0.49,2.87,0.23638437619008157
-0.49,2.86,0.23320232104476346
-0.48,2.86,0.23469765422041566
-0.47,2.86,0.23619298739242678
-0.47,2.85,0.23300711946014374
-0.46,2.85,0.23451079201645442
-0.45,2.85,0.23601446456063313
-0.45,2.84,0.23282859092042263
-0.44,2.84,0.23433226347161729
-0.43,2.84,0.23583593601051045
-0.42,2.84,0.23733960855231584
-0.42,2.83,0.23415144027812784
-0.41,2.83,0.23566416141589464
-0.4,2.83,0.23717688255366143
-0.4,2.82,0.23398826154864294
-0.39,2.82,0.23550351776818423
-0.38,2.82,0.23701476096807528
-0.38,2.81,0.23383502316304194
-0.37,2.81,0.23534626636123102
-0.36,2.81,0.23686252605092895
-0.36,2.8,0.233679299234534
-0.35,2.8,0.2351973533575198
-0.34,2.8,0.23671540748519138
-0.34,2.79,0.2335321806610946
-0.33,2.79,0.23505023478856646
-0.32,2.79,0.23656828891476733
-0.32,2.78,0.23339024319288848
-0.31,2.78,0.2349149534647509
-0.3,2.78,0.23643966373923297
-0.3,2.77,0.23325246016079826
-0.29,2.77,0.23478095267493715
-0.28,2.77,0.236303761858504
-0.28,2.76,0.23312797383693118
-0.27,2.76,0.23465078302160425
-0.26,2.76,0.23617894406622375
-0.26,2.75,0.23299948554550864
-0.25,2.75,0.23452946223105897
-0.24,2.75,0.23605943891349945
-0.24,2.74,0.23287998039518687
-0.23,2.74,0.2344099570795185
-0.22,2.74,0.23593993376018751
-0.22,2.73,0.23276414112739607
-0.21,2.73,0.23430165433038697
-0.2,2.73,0.23583916753424328
-0.2,2.72,0.2326558588720644
-0.19,2.72,0.2341988761602406
-0.18,2.72,0.23573415486477123
-0.17,2.72,0.23726943357434105
-0.17,2.71,0.2340995231145213
-0.16,2.71,0.23564328699765924
-0.15,2.71,0.23718688429306956
