U_Ga-4p,U_As-4p,a(A),Eg(eV),meff
3.05,2.25,5.5406348878774105,1.5190360454932197,0.07883630148545201
3.1,2.25,5.538668636588686,1.5289726202868497,0.07933803002133125
3.1,2.2,5.5399541346188,1.5133624691873786,0.07873206764616722
3.15,2.2,5.537978327822697,1.5233474100209183,0.07923796903511937
3.15,2.15,5.539267374661407,1.5077415998128643,0.0786308374695642
3.2,2.15,5.537291338569997,1.5177359065026665,0.07913927713711445
3.25,2.15,5.535485617765437,1.5270179750603423,0.07961809281748101
3.25,2.1,5.536768889165649,1.5114562120044377,0.07901273145938001
3.3,2.1,5.5347905085305,1.5214768635689995,0.07952533530488486
3.35,2.1,5.53280921683597,1.531518934272051,0.08003946815866228
3.35,2.05,5.534094362634786,1.5159675687436733,0.07943478531466198
3.4,2.05,5.532104397372769,1.5260542870206506,0.079953106850684
3.4,2.0,5.5333928556776835,1.510508936864108,0.07934723613417523
3.45,2.0,5.531403172558254,1.520602489921077,0.07986814132412756
3.5,2.0,5.529431535062782,1.530624235821429,0.0803866129644328
3.5,1.95,5.530707488444972,1.5151554252158348,0.07971266042914103
3.55,1.95,5.528730671700337,1.525206739763477,0.08030635680707489
3.55,1.9,5.530007884119339,1.5097469888257005,0.07971940004814834
3.6,1.9,5.528027653372071,1.5198261318609543,0.0802285763305776
3.65,1.9,5.526056220933631,1.5298772576679667,0.0807538608165535
3.65,1.85,5.527326392111481,1.5144672099196943,0.08015265037434709
3.7,1.85,5.52535881261639,1.524510072783101,0.08067998029629742
3.7,1.8,5.526627405320833,1.509126635791596,0.08007846934259003
3.75,1.8,5.524658427856391,1.5191835244176646,0.0806088230362803
3.8,1.8,5.522688810600055,1.5292518423192845,0.08114055023842051
3.8,1.75,5.523955993316951,1.513893764941549,0.08054024230151273
3.85,1.75,5.521987061749957,1.5239667874979068,0.08150149449020534
3.85,1.7,5.523253699796233,1.508632452052121,0.0804738133554074
3.9,1.7,5.521282587613403,1.5187220599880418,0.0810115030728075
3.95,1.7,5.519318037676993,1.5287943564007245,0.08154926834832986
3.95,1.65,5.520580560709089,1.5134958866322263,0.08095013889905744
4.0,1.65,5.518614147651441,1.5235841500072977,0.08149118508844977
4.0,1.6,5.519877712489908,1.5083013747345415,0.08089123135258888
4.05,1.6,5.517910472587875,1.5184009733765487,0.08143537735651395
4.1,1.6,5.515952689176499,1.5284691949594478,0.08197914239122447
4.1,1.55,5.517205529022988,1.5132514765700815,0.08138213392362971
4.15,1.55,5.515243604144557,1.5233454908709938,0.08192966371048531
4.15,1.5,5.516492268269478,1.508165401292722,0.08133283700157544
4.2,1.5,5.514529270348726,1.5182719859737164,0.0818835776493929
4.25,1.5,5.512618785603782,1.5281638409725156,0.0824258939634865
4.25,1.45,5.5138081109264085,1.513256334888956,0.08184118374126743
4.3,1.45,5.511880756103851,1.5232278366376952,0.08238975248287489
4.3,1.4,5.513040630675186,1.5084661601301759,0.08181007225724368
4.35,1.4,5.511165866658841,1.5182224443662318,0.08235170279347875
4.4,1.4,5.509050175123189,1.5290121998047812,0.08294077593894032
4.4,1.35,5.510325047423392,1.513780917028862,0.08234018446720627
4.45,1.35,5.508191930585478,1.5246533225627026,0.0829358788898607
4.45,1.3,5.5093994379498366,1.5097288636349033,0.08234770732134114
4.5,1.3,5.507476545121949,1.519714860999441,0.08290638291015387
4.55,1.3,5.505527899058234,1.5298189137180906,0.08347173901045717
4.55,1.25,5.506760523999423,1.5148083947710274,0.08287960348021815
4.6,1.25,5.5048161982547335,1.5249020619298284,0.08344737139358067
4.6,1.2,5.506050765058578,1.5099038813323953,0.08285426651622528
4.65,1.2,5.504104798332647,1.52001267585785,0.08342560392618587
4.7,1.2,5.50216322504385,1.5301109170433251,0.08399783623768481
4.7,1.15,5.503393953615661,1.515149688971943,0.08340639413405931
4.75,1.15,5.501454281891217,1.525248101316735,0.08398161409836705
4.75,1.1,5.502686014010192,1.5103035139088994,0.08338928773077628
4.8,1.1,5.50074666503837,1.5204083343732808,0.08396787030204414
4.85,1.1,5.498817809795524,1.5304764997634424,0.08454629406672855
4.85,1.05,5.5000420857038375,1.5155845297730877,0.08395629057231091
4.9,1.05,5.498116864149432,1.5256456255489181,0.0845374312672474
4.9,1.0,5.499338720155055,1.5107847766624463,0.08394725663183285
4.95,1.0,5.497414820340158,1.5208479000603754,0.08444606048121724
5.0,1.0,5.495492926366458,1.530911783930539,0.08511757514043779
5.0,0.95,5.4967140015296305,1.5160752058338007,0.08461775775384074
5.05,0.95,5.494792385679023,1.5261445688663993,0.08511788385150294
5.05,0.9,5.496019746891425,1.5113022630662123,0.08452674243160195
5.1,0.9,5.4939573898680925,1.52198022008068,0.08514770781035352
5.1,0.85,5.4951795208630045,1.5071809207037423,0.0845569645009878
5.15,0.85,5.4932608098710665,1.5172539709766424,0.0851532123953744
5.2,0.85,5.4913497808627945,1.527302290549876,0.08574996396403531
5.2,0.8,5.492566781374333,1.5125467314940824,0.08516106282435228
5.25,0.8,5.490657976898927,1.5225934890441841,0.08576111368936438
5.25,0.75,5.491876125499686,1.507854241428623,0.08517128211573659
5.3,0.75,5.489968486166938,1.517904119454252,0.08577484239839081
5.35,0.75,5.488069941645525,1.5279226946110651,0.0863788700121662
5.35,0.7,5.489280086014459,1.5132392023805237,0.08579141677051097
5.4,0.7,5.487382710599821,1.523260762137803,0.08639901229351588
5.4,0.65,5.488594947929661,1.5085899055462983,0.0858104174854747
5.45,0.65,5.4866986543290786,1.518614735539268,0.08642163405043837
5.5,0.65,5.484810395473706,1.528612721013161,0.08703368772392256
5.5,0.6,5.486014993872375,1.5139962784278844,0.0864473934206105
5.55,0.6,5.484131154936502,1.523983717302564,0.08706252186635817
5.55,0.55,5.485338711724487,1.5093761085833535,0.08647479717103303
5.6,0.55,5.483453490837176,1.5193765168475075,0.08709429071914414
5.65,0.55,5.481498800690652,1.529682015097798,0.08773043115402412
